Spectra Description,telx1,tely1,telx2,tely2,Detector,Sci X1,Sci Y1,Sci X2,Sci Y2
DHS 5,151.16,-476.05,88.25,-476.29,NRCA1_FULL,17.61,2669.96,2057.64,2676.13
DHS 4,151.19,-479.51,88.25,-479.82,NRCA1_FULL,17.76,2557.96,2057.78,2562.32
DHS 3,151.24,-483.22,88.25,-483.61,NRCA1_FULL,17.91,2438.06,2057.94,2440.02
DHS 2,151.28,-487.28,88.25,-487.73,NRCA1_FULL,18.08,2307.15,2058.1,2307.41
DHS 5,83.72,-476.21,60.79,-476.18,NRCA3_FULL,3.93,2682.76,745.96,2682.68
DHS 4,83.74,-479.76,60.79,-479.74,NRCA3_FULL,3.33,2568.16,745.36,2568.17
DHS 3,83.76,-483.58,60.8,-483.6,NRCA3_FULL,2.69,2445.16,744.7,2443.87
DHS 2,83.78,-487.69,60.8,-487.72,NRCA3_FULL,1.99,2312.65,744.0,2311.27
DHS 1,nan,nan,nan,nan,,nan,nan,nan,nan
DHS 6,nan,nan,nan,nan,,nan,nan,nan,nan
DHS 7,151.9,-498.69,88.73,-499.22,NRCA1_FULL,3.0,1938.98,2043.01,1937.67
DHS 8,151.95,-502.21,88.74,-502.81,NRCA1_FULL,3.01,1825.48,2043.01,1822.47
DHS 9,152.01,-506.1,88.74,-506.81,NRCA1_FULL,3.02,1700.58,2043.01,1694.17
DHS 10,152.07,-510.23,88.75,-511.03,NRCA1_FULL,3.02,1567.78,2043.01,1558.97
DHS 7,83.72,-499.22,63.72,-499.24,NRCA3_FULL,4.01,1941.97,648.51,1941.58
DHS 8,83.72,-502.81,63.71,-502.86,NRCA3_FULL,4.01,1826.77,648.5,1825.58
DHS 9,83.72,-506.83,63.7,-506.92,NRCA3_FULL,4.01,1697.87,648.5,1695.58
DHS 10,83.73,-511.07,63.68,-511.18,NRCA3_FULL,4.0,1562.07,648.5,1559.29
Grism,90.09,-494.86,21.86,-494.86,NRCA5_FULL,960.0,1000.89,2043.0,999.0
