Spectra Description,Detector Name,X at Max V2,Y at Max V2,X at Min V2,Y at Min V2
DHS 5,A1,3,1677.6,2043.0,1685.9
DHS 4,A1,3,1564.6,2043.0,1571.3
DHS 3,A1,3,1445.6,2043.0,1448.9
DHS 2,A1,3,1315.6,2043.0,1318.0
DHS 1,A1,3,1194.8,2043.0,1194.2
DHS 6,A1,3,1068.9,2043.0,1069.9
DHS 7,A1,3,943.1,2043.0,944.5
DHS 8,A1,3,829.8,2043.0,829.7
DHS 9,A1,3,705.6,2043.0,701.7
DHS 10,A1,3,572.3,2043.0,566.4
DHS 5,A3,3,1691.8,906.5,1695.5
DHS 4,A3,3,1576.9,851.0,1581.1
DHS 3,A3,3,1455.3,876.3,1456.0
DHS 2,A3,3,1322.0,897.3,1323.7
DHS 1,A3,3,1197.5,909.2,1196.3
DHS 6,A3,3,1075.4,887.8,1072.8
DHS 7,A3,3,949.7,884.2,949.1
DHS 8,A3,3,833.5,869.0,832.3
DHS 9,A3,3,705.2,865.9,703.1
DHS 10,A3,3,570.3,896.8,564.3
